size,difficulty,seed,solver,solved,timed_out,nodes,conflicts,backtracks,propagations,time_ms,best_cost
10,easy,4,hc,0,1,227340,3156,3156,0,5002.19,6
10,easy,4,sa,1,0,15139,12956,1,0,336.45,0
10,medium,0,bt,1,0,364,175,189,0,88.24,
10,medium,0,fc,1,0,53,20,20,140,1.37,
10,medium,0,full,1,0,10,1,1,84,0.78,
10,medium,0,hc,0,1,243600,6378,6378,0,5000.37,1
10,medium,0,sa,1,0,4183,3057,0,0,98.96,0
10,medium,1,bt,1,0,11040,5512,5528,0,1873.92,
10,medium,1,fc,1,0,98,42,42,193,1.06,
10,medium,1,full,1,0,9,1,1,98,0.8,
10,medium,1,hc,0,1,248610,6175,6175,0,5000.51,1
10,medium,1,sa,1,0,14974,12597,1,0,273.32,0
10,medium,2,bt,1,0,988,486,502,0,96.15,
10,medium,2,fc,1,0,19,2,2,71,0.59,
10,medium,2,full,1,0,8,0,0,74,0.76,
10,medium,2,hc,0,1,248640,7248,7248,0,5000.44,1
10,medium,2,sa,1,0,3530,2388,0,0,65.15,0
10,medium,3,bt,0,1,20570,10279,10292,0,5000.94,
10,medium,3,fc,1,0,36,9,9,83,0.69,
10,medium,3,full,1,0,11,1,1,80,0.79,
10,medium,3,hc,0,1,258810,7594,7594,0,5000.16,1
10,medium,3,sa,1,0,29785,25794,2,0,572.27,0
10,medium,4,bt,1,0,170,77,93,0,22.96,
10,medium,4,fc,1,0,82,34,34,108,1.41,
10,medium,4,full,1,0,13,2,2,87,0.92,
10,medium,4,hc,0,1,239700,5712,5712,0,5000.27,2
10,medium,4,sa,1,0,6253,5121,0,0,124.36,0
10,hard,0,bt,1,0,164,76,88,0,18.68,
10,hard,0,fc,1,0,14,0,0,74,1.18,
10,hard,0,full,1,0,14,0,0,74,1.63,
10,hard,0,hc,1,0,120,4,4,0,2.25,0
10,hard,0,sa,1,0,2259,1375,0,0,39.77,0
10,hard,1,bt,1,0,2383,1184,1199,0,532.2,
10,hard,1,fc,1,0,25,4,4,77,0.77,
10,hard,1,full,1,0,15,0,0,73,0.95,
10,hard,1,hc,1,0,18210,569,569,0,411.73,0
10,hard,1,sa,1,0,5896,4695,0,0,120.05,0
10,hard,2,bt,1,0,163,75,88,0,17.98,
10,hard,2,fc,1,0,20,3,3,82,1.24,
10,hard,2,full,1,0,13,0,0,75,1.54,
10,hard,2,hc,1,0,90,3,3,0,2.12,0
10,hard,2,sa,1,0,3294,2249,0,0,56.92,0
10,hard,3,bt,1,0,2051,1018,1033,0,206.73,
10,hard,3,fc,1,0,23,4,4,85,0.75,
10,hard,3,full,1,0,14,0,0,74,1.11,
10,hard,3,hc,1,0,16440,426,426,0,354.42,0
10,hard,3,sa,1,0,3297,2240,0,0,80.1,0
10,hard,4,bt,1,0,161,73,88,0,19.01,
10,hard,4,fc,1,0,18,2,2,77,0.53,
10,hard,4,full,1,0,13,0,0,75,1.13,
10,hard,4,hc,1,0,85080,2032,2032,0,1781.16,0
10,hard,4,sa,1,0,16968,14448,1,0,377.53,0
14,easy,0,bt,1,0,2281,1124,1157,0,478.6,
14,easy,0,fc,1,0,89,28,28,172,2.8,
14,easy,0,full,1,0,6,0,0,140,1.22,
14,easy,0,hc,0,1,102630,1560,1560,0,5001.12,14
14,easy,0,sa,0,1,111013,99247,10,0,5000.01,2
14,easy,1,bt,0,1,16408,8197,8211,0,5000.04,
14,easy,1,fc,1,0,54,12,12,141,2.31,
14,easy,1,full,1,0,6,0,0,140,1.05,
14,easy,1,hc,0,1,115170,1076,1076,0,5001.1,13
14,easy,1,sa,1,0,27996,24791,2,0,1219.67,0
14,easy,2,bt,1,0,732,350,382,0,144.3,
14,easy,2,fc,1,0,62,15,15,149,3.42,
14,easy,2,full,1,0,0,0,0,146,1.11,
14,easy,2,hc,0,1,112320,1161,1161,0,5000.69,18
14,easy,2,sa,1,0,95503,85897,8,0,4195.7,0
14,easy,3,bt,1,0,6097,3032,3065,0,1229.27,
14,easy,3,fc,1,0,43,5,5,123,1.61,
14,easy,3,full,1,0,3,0,0,143,0.84,
14,easy,3,hc,0,1,104610,1618,1618,0,5001.08,17
14,easy,3,sa,1,0,85624,76542,7,0,3695.18,0
14,easy,4,bt,1,0,3677,1823,1854,0,955.73,
