size,difficulty,seed,solver,solved,timed_out,nodes,conflicts,backtracks,propagations,time_ms,best_cost
7,easy,0,bt,1,0,115,53,62,0,6.62,
7,easy,0,fc,1,0,11,1,1,30,0.25,
7,easy,0,full,1,0,0,0,0,37,0.34,
7,easy,0,hc,1,0,13020,167,167,0,179.95,0
7,easy,0,sa,1,0,3294,2182,0,0,74.66,0
7,easy,1,bt,1,0,160,75,85,0,7.91,
7,easy,1,fc,1,0,18,4,4,33,0.41,
7,easy,1,full,1,0,5,0,0,32,0.34,
7,easy,1,hc,1,0,43140,493,493,0,542.54,0
7,easy,1,sa,1,0,14471,11941,1,0,176.68,0
7,easy,2,bt,1,0,110,51,59,0,7.13,
7,easy,2,fc,1,0,14,3,3,35,0.41,
7,easy,2,full,1,0,0,0,0,36,0.24,
7,easy,2,hc,1,0,19560,306,306,0,244.44,0
7,easy,2,sa,1,0,2432,1521,0,0,30.81,0
7,easy,3,bt,1,0,62,25,37,0,3.58,
7,easy,3,fc,1,0,30,9,9,33,0.4,
7,easy,3,full,1,0,4,1,1,39,0.42,
7,easy,3,hc,1,0,24180,291,291,0,314.25,0
7,easy,3,sa,1,0,6851,5629,0,0,93.35,0
7,easy,4,bt,1,0,63,26,37,0,3.43,
7,easy,4,fc,1,0,11,0,0,26,0.24,
7,easy,4,full,1,0,1,0,0,36,0.2,
7,easy,4,hc,1,0,32730,547,547,0,394.26,0
7,easy,4,sa,1,0,4116,3009,0,0,50.92,0
7,medium,0,bt,1,0,69,30,39,0,3.06,
7,medium,0,fc,1,0,14,2,2,31,0.42,
7,medium,0,full,1,0,5,0,0,34,0.3,
7,medium,0,hc,1,0,8970,267,267,0,91.68,0
7,medium,0,sa,1,0,8079,6637,0,0,80.23,0
7,medium,1,bt,1,0,68,29,39,0,3.28,
7,medium,1,fc,1,0,29,9,9,41,0.4,
7,medium,1,full,1,0,7,0,0,32,0.35,
7,medium,1,hc,1,0,330,6,6,0,3.49,0
7,medium,1,sa,1,0,4935,3721,0,0,55.24,0
7,medium,2,bt,1,0,170,81,89,0,7.78,
7,medium,2,fc,1,0,32,12,12,55,0.37,
7,medium,2,full,1,0,5,0,0,35,0.29,
7,medium,2,hc,1,0,6060,167,167,0,67.06,0
7,medium,2,sa,1,0,2244,1275,0,0,29.24,0
7,medium,3,bt,1,0,356,173,183,0,16.01,
7,medium,3,fc,1,0,70,30,30,111,0.63,
7,medium,3,full,1,0,9,1,1,52,0.37,
7,medium,3,hc,1,0,1470,20,20,0,16.3,0
7,medium,3,sa,1,0,3434,2175,0,0,47.61,0
7,medium,4,bt,1,0,68,29,39,0,3.17,
7,medium,4,fc,1,0,13,1,1,29,0.22,
7,medium,4,full,1,0,5,0,0,34,0.25,
7,medium,4,hc,1,0,7290,161,161,0,80.41,0
7,medium,4,sa,1,0,3048,1893,0,0,34.6,0
7,hard,0,bt,1,0,77,34,43,0,3.51,
7,hard,0,fc,1,0,13,2,2,38,0.25,
7,hard,0,full,1,0,8,0,0,35,0.38,
7,hard,0,hc,1,0,1800,57,57,0,18.51,0
7,hard,0,sa,1,0,3246,2055,0,0,35.68,0
7,hard,1,bt,1,0,78,35,43,0,5.44,
7,hard,1,fc,1,0,13,2,2,39,0.29,
7,hard,1,full,1,0,9,0,0,34,0.47,
7,hard,1,hc,1,0,30,1,1,0,0.3,0
7,hard,1,sa,1,0,1772,892,0,0,18.05,0
7,hard,2,bt,1,0,298,145,153,0,16.41,
7,hard,2,fc,1,0,9,0,0,33,1.79,
7,hard,2,full,1,0,5,0,0,37,0.21,
7,hard,2,hc,1,0,1980,62,62,0,21.27,0
7,hard,2,sa,1,0,3659,2409,0,0,38.44,0
7,hard,3,bt,1,0,94,43,51,0,4.28,
7,hard,3,fc,1,0,15,3,3,40,0.29,
7,hard,3,full,1,0,8,0,0,35,0.37,
7,hard,3,hc,1,0,360,12,12,0,3.67,0
7,hard,3,sa,1,0,2704,1629,0,0,28.07,0
7,hard,4,bt,1,0,1490,740,750,0,71.96,
7,hard,4,fc,1,0,10,0,0,33,0.18,
7,hard,4,full,1,0,0,0,0,43,0.15,
7,hard,4,hc,0,1,973590,30813,30813,0,10000.28,1
7,hard,4,sa,1,0,4982,3579,0,0,55.55,0
10,easy,0,bt,1,0,1299,641,658,0,151.1,
10,easy,0,fc,1,0,29,6,6,66,0.71,
10,easy,0,full,1,0,2,0,0,72,0.73,
10,easy,0,hc,0,1,422820,4762,4762,0,10000.04,3
10,easy,0,sa,1,0,38537,33722,3,0,930.23,0
10,easy,1,bt,1,0,450,216,234,0,72.55,
10,easy,1,fc,1,0,116,49,49,153,1.91,
10,easy,1,full,1,0,6,3,3,95,0.55,
10,easy,1,hc,0,1,421170,6363,6363,0,10000.41,3
10,easy,1,sa,1,0,54437,48720,4,0,1153.78,0
10,easy,2,bt,1,0,1108,545,563,0,139.77,
10,easy,2,fc,1,0,24,3,3,61,0.76,
10,easy,2,full,1,0,3,0,0,71,0.6,
10,easy,2,hc,0,1,450840,5608,5608,0,10000.99,3
10,easy,2,sa,1,0,27676,24318,2,0,588.53,0
10,easy,3,bt,1,0,130,56,74,0,25.88,
10,easy,3,fc,1,0,48,15,15,82,1.55,
10,easy,3,full,1,0,0,0,0,74,0.35,
10,easy,3,hc,0,1,464100,3847,3847,0,10000.46,6
10,easy,3,sa,1,0,26059,22667,2,0,548.68,0
10,easy,4,bt,1,0,129,55,74,0,24.15,
10,easy,4,fc,1,0,21,1,1,55,0.55,
10,easy,4,full,1,0,0,0,0,74,0.32,
10,easy,4,hc,0,1,450630,6312,6312,0,10000.54,5
10,easy,4,sa,1,0,15139,12956,1,0,328.85,0
10,medium,0,bt,1,0,364,175,189,0,81.87,
10,medium,0,fc,1,0,53,20,20,140,1.08,
10,medium,0,full,1,0,10,1,1,84,0.83,
10,medium,0,hc,0,1,469710,12293,12293,0,10000.08,1
10,medium,0,sa,1,0,4183,3057,0,0,82.63,0
10,medium,1,bt,1,0,11040,5512,5528,0,2268.59,
10,medium,1,fc,1,0,98,42,42,193,1.11,
10,medium,1,full,1,0,9,1,1,98,1.29,
10,medium,1,hc,0,1,486210,12098,12098,0,10000.29,1
10,medium,1,sa,1,0,14974,12597,1,0,278.68,0
10,medium,2,bt,1,0,988,486,502,0,100.76,
10,medium,2,fc,1,0,19,2,2,71,0.55,
10,medium,2,full,1,0,8,0,0,74,0.84,
10,medium,2,hc,0,1,483240,14078,14078,0,10001.06,1
10,medium,2,sa,1,0,3530,2388,0,0,73.19,0
10,medium,3,bt,0,1,31447,15717,15731,0,10001.68,
10,medium,3,fc,1,0,36,9,9,83,1.43,
10,medium,3,full,1,0,11,1,1,80,0.81,
10,medium,3,hc,0,1,447810,13128,13128,0,10000.04,1
10,medium,3,sa,1,0,29785,25794,2,0,583.51,0
10,medium,4,bt,1,0,170,77,93,0,27.36,
10,medium,4,fc,1,0,82,34,34,108,1.39,
10,medium,4,full,1,0,13,2,2,87,0.88,
10,medium,4,hc,0,1,473220,11345,11345,0,10000.54,2
10,medium,4,sa,1,0,6253,5121,0,0,117.28,0
10,hard,0,bt,1,0,164,76,88,0,20.0,
10,hard,0,fc,1,0,14,0,0,74,0.79,
10,hard,0,full,1,0,14,0,0,74,1.3,
10,hard,0,hc,1,0,120,4,4,0,2.05,0
10,hard,0,sa,1,0,2259,1375,0,0,36.9,0
10,hard,1,bt,1,0,2383,1184,1199,0,618.4,
10,hard,1,fc,1,0,25,4,4,77,0.77,
10,hard,1,full,1,0,15,0,0,73,0.95,
10,hard,1,hc,1,0,18210,569,569,0,334.84,0
10,hard,1,sa,1,0,5896,4695,0,0,106.84,0
10,hard,2,bt,1,0,163,75,88,0,23.83,
10,hard,2,fc,1,0,20,3,3,82,1.01,
10,hard,2,full,1,0,13,0,0,75,1.46,
10,hard,2,hc,1,0,90,3,3,0,1.64,0
10,hard,2,sa,1,0,3294,2249,0,0,56.08,0
10,hard,3,bt,1,0,2051,1018,1033,0,173.87,
10,hard,3,fc,1,0,23,4,4,85,0.75,
10,hard,3,full,1,0,14,0,0,74,1.06,
10,hard,3,hc,1,0,16440,426,426,0,319.4,0
10,hard,3,sa,1,0,3297,2240,0,0,60.01,0
10,hard,4,bt,1,0,161,73,88,0,21.49,
10,hard,4,fc,1,0,18,2,2,77,0.54,
10,hard,4,full,1,0,13,0,0,75,1.09,
10,hard,4,hc,1,0,85080,2032,2032,0,1580.93,0
10,hard,4,sa,1,0,16968,14448,1,0,298.0,0
14,easy,0,bt,1,0,2281,1124,1157,0,418.23,
14,easy,0,fc,1,0,89,28,28,172,2.77,
14,easy,0,full,1,0,6,0,0,140,1.19,
14,easy,0,hc,0,1,226170,3525,3525,0,10000.39,14
14,easy,0,sa,0,1,217262,194691,19,0,10000.01,1
14,easy,1,bt,0,1,31952,15968,15984,0,10001.38,
14,easy,1,fc,1,0,54,12,12,141,3.35,
14,easy,1,full,1,0,6,0,0,140,1.04,
14,easy,1,hc,0,1,248160,2315,2315,0,10000.06,13
14,easy,1,sa,1,0,27996,24791,2,0,1116.91,0
14,easy,2,bt,1,0,732,350,382,0,137.84,
14,easy,2,fc,1,0,62,15,15,149,2.07,
14,easy,2,full,1,0,0,0,0,146,0.66,
14,easy,2,hc,0,1,240570,2552,2552,0,10000.65,16
14,easy,2,sa,1,0,95503,85897,8,0,3921.22,0
14,easy,3,bt,1,0,6097,3032,3065,0,1248.41,
14,easy,3,fc,1,0,43,5,5,123,1.62,
14,easy,3,full,1,0,3,0,0,143,0.82,
14,easy,3,hc,0,1,236970,3619,3619,0,10000.21,17
14,easy,3,sa,1,0,85624,76542,7,0,3403.68,0
14,easy,4,bt,1,0,3677,1823,1854,0,841.76,
14,easy,4,fc,1,0,294,132,132,549,6.95,
14,easy,4,full,1,0,6,0,0,140,1.52,
14,easy,4,hc,0,1,241290,2951,2951,0,10000.41,15
14,easy,4,sa,0,1,258349,231513,23,0,10000.03,1
14,medium,0,bt,1,0,9528,4750,4778,0,2148.5,
14,medium,0,fc,1,0,340,156,156,613,8.4,
14,medium,0,full,1,0,15,1,1,160,2.45,
14,medium,0,hc,0,1,251070,4949,4949,0,10001.17,8
14,medium,0,sa,1,0,9822,8742,0,0,331.58,0
14,medium,1,bt,1,0,23910,11944,11966,0,6028.62,
14,medium,1,fc,1,0,60,18,18,217,2.0,
14,medium,1,full,1,0,14,0,0,146,2.43,
